Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Zacian (Crowned Sword),99.3,888,fairy,steel,291.6,214.3,173,10808975,50,5629,Metal Claw,Close Combat,Behemoth Blade,7,8,20,100000
Palkia (Origin),99,484,water,dragon,252.9,200,171,8649845,50,4683,Dragon Breath,Aqua Tail,Spacial Rend,9,13,20,100000
Zamazenta (Crowned Shield),95.8,889,fighting,steel,222.7,258,173,9938003,50,4717,Ice Fang,Close Combat,Behemoth Bash,8,8,20,100000
Dialga (Origin),94.7,483,steel,dragon,239.5,201.7,184,8886744,50,4624,Dragon Breath,Roar of Time,Iron Head,17,13,20,100000
Kyurem (White),94.5,646,dragon,ice,273.1,166.4,218,9905441,50,5206,Dragon Breath,Fusion Flare,Ice Burn,12,15,20,100000
Zekrom,93.9,644,dragon,electric,243.7,189.9,184,8515164,50,4565,Dragon Breath,Outrage,Fusion Bolt,15,12,20,100000
Kyurem (Black),92.9,646,dragon,ice,273.1,166.4,218,9905441,50,5206,Dragon Tail,Freeze Shock,Fusion Bolt,5,4,20,100000
Reshiram,92,643,dragon,fire,243.7,189.9,184,8515164,50,4565,Dragon Breath,Fusion Flare,Draco Meteor,12,17,20,100000
Florges,91.4,671,fairy,none,190.7,217.6,168,6974349,50,3657,Fairy Wind,Moonblast,Chilling Water,7,5,3,50000
Lugia,91.4,249,psychic,flying,174.8,273.1,210,10023854,50,4186,Dragon Tail,Aeroblast,Fly,7,4,20,100000
Metagross,91,376,steel,psychic,228.6,204.2,172,8027353,50,4286,Shadow Claw,Meteor Mash,Earthquake,7,9,5,75000
Lugia (Shadow),90.9,249,psychic,flying,174.8,273.1,210,10023854,50,4186,Dragon Tail,Aeroblast,Fly,7,4,20,100000
Necrozma (Dawn Wings),90.1,800,psychic,ghost,245.4,197.5,180,8721516,50,4634,Shadow Claw,Dark Pulse,Moongeist Beam,7,9,20,100000
Eternatus,90,890,poison,dragon,246.2,173.9,237,10149743,50,5007,Dragon Tail,Dynamax Cannon,Flamethrower,4,5,20,100000
Palkia (Shadow),89.7,484,water,dragon,247.9,193.3,171,8192467,50,4512,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Lunala,89.2,792,psychic,ghost,226.9,173.1,234,9190002,50,4570,Shadow Claw,Shadow Ball,Moonblast,7,8,20,100000
Ho-Oh,88.5,250,fire,flying,213.4,217.6,192,8918739,50,4367,Incinerate,Brave Bird,Sacred Fire,3,4,20,100000
Groudon,88.4,383,ground,none,239.5,204.2,184,8997828,50,4652,Dragon Tail,Fire Punch,Precipice Blades,4,5,20,100000
Necrozma (Dusk Mane),88.4,800,psychic,steel,245.4,197.5,180,8721516,50,4634,Shadow Claw,Dark Pulse,Sunsteel Strike,7,9,20,100000
Dialga (Shadow),88,483,steel,dragon,243.7,189.9,184,8515164,50,4565,Dragon Breath,Iron Head,Draco Meteor,13,17,20,100000
Latios (Shadow),88,381,dragon,psychic,237.8,190.7,172,7802064,50,4310,Dragon Breath,Aura Sphere,Luster Purge,10,15,20,100000
Meloetta (Aria),87.8,648,normal,psychic,222.7,201.7,201,9026553,50,4490,Confusion,Psyshock,Dazzling Gleam,3,4,20,100000
Togekiss,87.6,468,fairy,flying,201.7,194.9,178,6998226,50,3767,Peck,Dazzling Gleam,Aura Sphere,7,5,3,50000
Kyurem,87.2,646,dragon,ice,219.3,155.5,218,7432544,50,4041,Dragon Breath,Glaciate,Dragon Claw,10,13,20,100000
Dialga,87,483,steel,dragon,243.7,189.9,184,8515164,50,4565,Dragon Breath,Iron Head,Draco Meteor,13,17,20,100000
Jirachi,86.7,385,steel,psychic,189.1,189.1,201,7185051,50,3691,Confusion,Doom Desire,Aura Sphere,3,3,20,100000
Palkia,86.6,484,water,dragon,247.9,193.3,171,8192467,50,4512,Dragon Breath,Aqua Tail,Fire Blast,9,20,20,100000
Solgaleo,86.6,791,psychic,steel,226.9,173.1,234,9190002,50,4570,Fire Spin,Psychic Fangs,Iron Head,4,5,20,100000
